Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año]
JEPIRACHI,Eólico,18.42,LA GUAJIRA,URIBIA,44,44847,2004-04-27T00:00:00.000,176832,30665,79206000000,51,51635
AUTOG CELSIA SOLAR YUMBO,Solar,9.8,VALLE DEL CAUCA,YUMBO,76,76892,2017-03-09T00:00:00.000,47040,8157,42140000000,68,13736
CELSIA SOLAR BOLIVAR,Solar,8.06,BOLÍVAR,SANTA ROSA,13,13683,2019-02-01T00:00:00.000,38688,6709,34658000000,56,11297
EL PASO SOLAR (ENEL GREEN POWER),Solar,67,CESAR,EL PASO,20,20250,2019-04-05T00:00:00.000,321600,55769,288100000000,466,93907
SOLAR CASTILLA ECP,Solar,20,META,CASTILLA LA NUEVA,50,50150,2019-10-10T00:00:00.000,96000,16647,86000000000,139,28032
AGPE TECNOEMPAQUES DE OCCIDENTE,Solar,0.1,VALLE DEL CAUCA,CALI,76,76001,2019-12-19T00:00:00.000,480,83,430000000,1,140
RADAR FAC SAN ANDRÉS,Solar,0.01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,88,88001,2019-12-30T00:00:00.000,48,8,43000000,0,14
AGPE SFV MCDONALDS SOLEDAD,Solar,0.09,ATLÁNTICO,SOLEDAD,08,08758,2020-02-27T00:00:00.000,432,75,387000000,1,126
CELSIA SOLAR ESPINAL,Solar,9.9,TOLIMA,ESPINAL,73,73268,2020-05-31T00:00:00.000,47520,8240,42570000000,69,13876
FEDERACIÓN NACIONAL DE CAFETEROS,Solar,0.08,TOLIMA,IBAGUÉ,73,73001,2020-09-02T00:00:00.000,384,67,344000000,1,112
PANELES SOLARES ISA,Solar,0.25,ANTIOQUIA,MEDELLÍN,05,05001,2020-09-04T00:00:00.000,1200,208,1075000000,2,350
SENA PEDREGAL,Solar,0.2,ANTIOQUIA,MEDELLÍN,05,05001,2020-09-04T00:00:00.000,960,166,860000000,1,280
UNGUÍA 181 HOGARES + 5 ESCUELAS,Solar,0.15,CHOCÓ,UNGUÍA,27,27800,2020-09-07T00:00:00.000,720,125,645000000,1,210
BOSQUES SOLARES DE LOS LLANOS 1,Solar,19.9,META,PUERTO GAITÁN,50,50568,2020-09-10T00:00:00.000,95520,16564,85570000000,139,27892
BAYUNCA 1,Solar,3,BOLÍVAR,CARTAGENA DE INDIAS,13,13001,2020-09-30T00:00:00.000,14400,2497,12900000000,21,4205
PLASTICEL (AUTOCONSUMO),Solar,1.5,VALLE DEL CAUCA,YUMBO,76,76892,2020-10-01T00:00:00.000,7200,1249,6450000000,10,2102
UTP,Solar,0.6,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,2880,499,2580000000,4,841
AEROPUERTO,Solar,0.55,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,2640,458,2365000000,4,771
UKUMARI,Solar,0.23,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,1104,191,989000000,2,322
VIVA CERRITOS,Solar,0.21,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,1008,175,903000000,1,294
CENTRO COMERCIAL VICTORIA,Solar,0.21,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,1008,175,903000000,1,294
CENTRO COMERCIAL ALCIDES ARÉVALO,Solar,0.04,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,192,33,172000000,0,56
LICEO PINO VERDE,Solar,0.03,RISARALDA,PEREIRA,66,66001,2020-10-15T00:00:00.000,144,25,129000000,0,42
PÉTALO DE CÓRDOBA,Solar,9.9,CÓRDOBA,PLANETA RICA,23,23555,2020-11-07T00:00:00.000,47520,8240,42570000000,69,13876
CARMELO,Solar,9.9,VALLE DEL CAUCA,CANDELARIA,76,76130,2020-12-30T00:00:00.000,47520,8240,42570000000,69,13876
BOSQUES SOLARES DE LOS LLANOS 2,Solar,19.9,META,PUERTO GAITÁN,50,50568,2020-12-31T00:00:00.000,95520,16564,85570000000,139,27892
BOSQUES SOLARES DE LOS LLANOS 3,Solar,19.9,META,PUERTO GAITÁN,50,50568,2020-12-31T00:00:00.000,95520,16564,85570000000,139,27892
GRUPO SEB,Solar,1.4,ANTIOQUIA,RIONEGRO,05,05615,2020-12-31T00:00:00.000,6720,1165,6020000000,10,1962
AUTOGENERACIÓN PINTUCO,Solar,1.74,ANTIOQUIA,RIONEGRO,05,05615,2021-01-26T00:00:00.000,8352,1448,7482000000,12,2439
SOL DE INIRÍDA,Solar,2.25,GUAINÍA,INÍRIDA,94,94001,2021-02-17T00:00:00.000,10800,1873,9675000000,16,3154
